   1.0000000e+00   9.9145731e-01   9.9854499e-01   2.1222187e-06   3.0671940e-03   9.1763068e-04   1.6118019e-03   2.6034233e-03   2.7454822e-04   7.9077565e-04   3.0890382e-04   2.5907484e-04
   9.9145731e-01   1.0000000e+00   9.9567929e-01   4.7450006e-06   7.1002929e-04   1.2230455e-04   2.7112125e-04   5.1317741e-04   4.1094376e-07   8.5294340e-06   6.1493507e-06   1.6567488e-06
   9.9854499e-01   9.9567929e-01   1.0000000e+00   1.2099494e-06   1.7799250e-03   1.0054741e-03   1.2950760e-03   2.5346670e-03   3.4947241e-04   7.0098660e-04   1.1483593e-04   9.0581964e-05
   2.1222187e-06   4.7450006e-06   1.2099494e-06   1.0000000e+00   5.5279672e-03   4.8471123e-04   4.2568844e-04   1.0354969e-03   5.8046068e-05   7.5755409e-04   2.3505276e-04   1.8755774e-04
   3.0671940e-03   7.1002929e-04   1.7799250e-03   5.5279672e-03   1.0000000e+00   1.3466878e-03   5.9179093e-03   4.5874234e-03   5.5797824e-04   6.9783876e-03   5.2216085e-02   5.1092163e-02
   9.1763068e-04   1.2230455e-04   1.0054741e-03   4.8471123e-04   1.3466878e-03   1.0000000e+00   1.0317820e-02   2.5185376e-01   1.6112871e-02   2.7000999e-02   3.2111428e-03   2.9973532e-03
   1.6118019e-03   2.7112125e-04   1.2950760e-03   4.2568844e-04   5.9179093e-03   1.0317820e-02   1.0000000e+00   2.7005890e-02   9.4523336e-03   1.3492251e-02   1.3440433e-02   1.5768690e-02
   2.6034233e-03   5.1317741e-04   2.5346670e-03   1.0354969e-03   4.5874234e-03   2.5185376e-01   2.7005890e-02   1.0000000e+00   1.9035355e-02   3.7851750e-02   8.5560199e-03   8.2756803e-03
   2.7454822e-04   4.1094381e-07   3.4947241e-04   5.8046068e-05   5.5797824e-04   1.6112871e-02   9.4523336e-03   1.9035355e-02   1.0000000e+00   9.5434476e-01   2.1761212e-03   2.2783806e-03
   7.9077565e-04   8.5294341e-06   7.0098660e-04   7.5755409e-04   6.9783876e-03   2.7000999e-02   1.3492251e-02   3.7851750e-02   9.5434476e-01   1.0000000e+00   5.4767930e-03   5.5107562e-03
   3.0890382e-04   6.1493508e-06   1.1483593e-04   2.3505276e-04   5.2216085e-02   3.2111428e-03   1.3440433e-02   8.5560199e-03   2.1761212e-03   5.4767930e-03   1.0000000e+00   9.9415871e-01
   2.5907484e-04   1.6567489e-06   9.0581964e-05   1.8755774e-04   5.1092163e-02   2.9973532e-03   1.5768690e-02   8.2756803e-03   2.2783806e-03   5.5107562e-03   9.9415871e-01   1.0000000e+00
